対象label（機種・データソース）,"2026/09/16 18:44~18:57仙台駅雨テスト（ASUS_I006D・supplicant_data-security_receive）"

セキュリティ規格,規格内件数,遷移パターン,件数,割合(%)（規格内）
WPA2-PSK,84,(遷移記録なし),56,66.7
WPA2-PSK,84,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → FOUR_WAY_HANDSHAKE",11,13.1
WPA2-PSK,84,"INTERFACE_DISABLED → DISCONNECTED",5,6
WPA2-PSK,84,"INTERFACE_DISABLED → DISCONNECTED → SCANNING → DISCONNECTED",3,3.6
WPA2-PSK,84,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED",2,2.4
WPA2-PSK,84,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",1,1.2
WPA2-PSK,84,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED",1,1.2
WPA2-PSK,84,"ASSOCIATING → ASSOCIATED → FOUR_WAY_HANDSHAKE",1,1.2
WPA2-PSK,84,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",1,1.2
WPA2-PSK,84,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",1,1.2
WPA2-PSK,84,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED",1,1.2
WPA2-PSK,84,"INTERFACE_DISABLED → DISCONNECTED → SCANNING",1,1.2
WPA/WPA2-PSK,43,(遷移記録なし),15,34.9
WPA/WPA2-PSK,43,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → FOUR_WAY_HANDSHAKE",12,27.9
WPA/WPA2-PSK,43,"ASSOCIATING → ASSOCIATED → FOUR_WAY_HANDSHAKE",4,9.3
WPA/WPA2-PSK,43,"INTERFACE_DISABLED → DISCONNECTED → SCANNING",3,7
WPA/WPA2-PSK,43,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",2,4.7
WPA/WPA2-PSK,43,"DISCONNECTED → ASSOCIATING → ASSOCIATED → FOUR_WAY_HANDSHAKE",1,2.3
WPA/WPA2-PSK,43,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → FOUR_WAY_HANDSHAKE → DISCONNECTED",1,2.3
WPA/WPA2-PSK,43,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED",1,2.3
WPA/WPA2-PSK,43,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",1,2.3
WPA/WPA2-PSK,43,ASSOCIATING,1,2.3
WPA/WPA2-PSK,43,"INTERFACE_DISABLED → DISCONNECTED",1,2.3
WPA/WPA2-PSK,43,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",1,2.3
WPA3-SAE,35,(遷移記録なし),27,77.1
WPA3-SAE,35,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",7,20
WPA3-SAE,35,"INTERFACE_DISABLED → DISCONNECTED → SCANNING → DISCONNECTED → ASSOCIATING",1,2.9
WPA2-EAP,19,(遷移記録なし),19,100
