対象label（機種・データソース）,"2026/09/17 12:23~12:36仙台駅（ASUS_I006D・supplicant_data-security_receive）"

セキュリティ規格,規格内件数,遷移パターン,件数,割合(%)（規格内）
WPA2-PSK,65,(遷移記録なし),32,49.2
WPA2-PSK,65,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → FOUR_WAY_HANDSHAKE",16,24.6
WPA2-PSK,65,DISCONNECTED,3,4.6
WPA2-PSK,65,"INTERFACE_DISABLED → DISCONNECTED",3,4.6
WPA2-PSK,65,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",3,4.6
WPA2-PSK,65,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",3,4.6
WPA2-PSK,65,"ASSOCIATING → ASSOCIATED → FOUR_WAY_HANDSHAKE",2,3.1
WPA2-PSK,65,ASSOCIATING,2,3.1
WPA2-PSK,65,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED",1,1.5
Open,51,(遷移記録なし),26,51
Open,51,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",10,19.6
Open,51,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",3,5.9
Open,51,"INTERFACE_DISABLED → DISCONNECTED",2,3.9
Open,51,"INTERFACE_DISABLED → DISCONNECTED → SCANNING → ASSOCIATING",1,2
Open,51,"ASSOCIATED → COMPLETED",1,2
Open,51,"ASSOCIATING → ASSOCIATED → COMPLETED",1,2
Open,51,"ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",1,2
Open,51,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED",1,2
Open,51,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",1,2
Open,51,"ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",1,2
Open,51,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED",1,2
Open,51,"INTERFACE_DISABLED → DISCONNECTED → SCANNING → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",1,2
Open,51,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",1,2
WPA/WPA2-PSK,35,(遷移記録なし),12,34.3
WPA/WPA2-PSK,35,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → FOUR_WAY_HANDSHAKE",8,22.9
WPA/WPA2-PSK,35,"INTERFACE_DISABLED → DISCONNECTED → SCANNING",6,17.1
WPA/WPA2-PSK,35,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",2,5.7
WPA/WPA2-PSK,35,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → FOUR_WAY_HANDSHAKE",1,2.9
WPA/WPA2-PSK,35,"INTERFACE_DISABLED → DISCONNECTED → SCANNING → ASSOCIATING",1,2.9
WPA/WPA2-PSK,35,DISCONNECTED,1,2.9
WPA/WPA2-PSK,35,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",1,2.9
WPA/WPA2-PSK,35,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",1,2.9
WPA/WPA2-PSK,35,"INTERFACE_DISABLED → DISCONNECTED",1,2.9
WPA/WPA2-PSK,35,"INTERFACE_DISABLED → DISCONNECTED → SCANNING → DISCONNECTED → ASSOCIATING → DISCONNECTED",1,2.9
WPA3-SAE,27,(遷移記録なし),13,48.1
WPA3-SAE,27,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",12,44.4
WPA3-SAE,27,ASSOCIATING,1,3.7
WPA3-SAE,27,"INTERFACE_DISABLED → DISCONNECTED → SCANNING",1,3.7
WPA2-EAP,20,(遷移記録なし),19,95
WPA2-EAP,20,DISCONNECTED,1,5
