対象label（機種・データソース）,"2026/09/16 18:45~18:58仙台駅雨テスト（motorola edge 40 neo・supplicant_data-security_receive）"

セキュリティ規格,規格内件数,遷移パターン,件数,割合(%)（規格内）
WPA2-PSK,70,(遷移記録なし),49,70
WPA2-PSK,70,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → FOUR_WAY_HANDSHAKE",14,20
WPA2-PSK,70,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → FOUR_WAY_HANDSHAKE → DISCONNECTED",2,2.9
WPA2-PSK,70,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",2,2.9
WPA2-PSK,70,"INTERFACE_DISABLED → DISCONNECTED → SCANNING → ASSOCIATING → ASSOCIATED → FOUR_WAY_HANDSHAKE",1,1.4
WPA2-PSK,70,"ASSOCIATING → ASSOCIATED → FOUR_WAY_HANDSHAKE",1,1.4
WPA2-PSK,70,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED",1,1.4
WPA3-SAE,53,(遷移記録なし),49,92.5
WPA3-SAE,53,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",2,3.8
WPA3-SAE,53,ASSOCIATING,1,1.9
WPA3-SAE,53,"ASSOCIATING → DISCONNECTED",1,1.9
WPA/WPA2-PSK,46,(遷移記録なし),30,65.2
WPA/WPA2-PSK,46,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → FOUR_WAY_HANDSHAKE",13,28.3
WPA/WPA2-PSK,46,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED",1,2.2
WPA/WPA2-PSK,46,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED",1,2.2
WPA/WPA2-PSK,46,ASSOCIATING,1,2.2
WPA2-EAP,18,(遷移記録なし),18,100
