対象label（機種・データソース）,"2026/09/17 12:23~12:36仙台駅（motorola edge 40 neo・supplicant_data-security_receive）"

セキュリティ規格,規格内件数,遷移パターン,件数,割合(%)（規格内）
WPA2-PSK,55,(遷移記録なし),43,78.2
WPA2-PSK,55,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → FOUR_WAY_HANDSHAKE",10,18.2
WPA2-PSK,55,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED",1,1.8
WPA2-PSK,55,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",1,1.8
Open,41,(遷移記録なし),27,65.9
Open,41,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",10,24.4
Open,41,"ASSOCIATING → ASSOCIATED → COMPLETED",1,2.4
Open,41,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED",1,2.4
Open,41,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED",1,2.4
Open,41,"DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",1,2.4
WPA/WPA2-PSK,25,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → FOUR_WAY_HANDSHAKE",11,44
WPA/WPA2-PSK,25,(遷移記録なし),8,32
WPA/WPA2-PSK,25,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",3,12
WPA/WPA2-PSK,25,"ASSOCIATING → ASSOCIATED → FOUR_WAY_HANDSHAKE",1,4
WPA/WPA2-PSK,25,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED",1,4
WPA/WPA2-PSK,25,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED",1,4
WPA3-SAE,20,(遷移記録なし),15,75
WPA3-SAE,20,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED",3,15
WPA3-SAE,20,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",1,5
WPA3-SAE,20,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → DISCONNECTED",1,5
WPA2-EAP,13,(遷移記録なし),13,100
