対象label（機種・データソース）,"2026/09/14 18:09~18:24仙台駅（ASUS_I006D・supplicant_data-SSID_receive）"

セキュリティ規格,規格内件数,遷移パターン,件数,割合(%)（規格内）,SSID
Open,82,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",16,19.5,SENDAI_free_Wi-Fi
Open,82,"ASSOCIATING → ASSOCIATED → COMPLETED",13,15.9,SENDAI_free_Wi-Fi
Open,82,"ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",10,12.2,SENDAI_free_Wi-Fi
Open,82,ASSOCIATING,5,6.1,SENDAI_free_Wi-Fi
Open,82,"ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",5,6.1,SENDAI_free_Wi-Fi
Open,82,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",5,6.1,SENDAI_free_Wi-Fi
Open,82,"ASSOCIATING → DISCONNECTED",3,3.7,SENDAI_free_Wi-Fi
Open,82,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",3,3.7,SENDAI_free_Wi-Fi
Open,82,"ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED",3,3.7,SENDAI_free_Wi-Fi
Open,82,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",2,2.4,SENDAI_free_Wi-Fi
Open,82,"INTERFACE_DISABLED → DISCONNECTED → SCANNING → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",2,2.4,SENDAI_free_Wi-Fi
Open,82,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",2,2.4,SENDAI_free_Wi-Fi
Open,82,"SCANNING → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",2,2.4,SENDAI_free_Wi-Fi
Open,82,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED",1,1.2,SENDAI_free_Wi-Fi
Open,82,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED",1,1.2,SENDAI_free_Wi-Fi
Open,82,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",1,1.2,SENDAI_free_Wi-Fi
Open,82,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",1,1.2,SENDAI_free_Wi-Fi
Open,82,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",1,1.2,SENDAI_free_Wi-Fi
Open,82,"INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED",1,1.2,SENDAI_free_Wi-Fi
Open,82,"ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → DISCONNECTED → SCANNING",1,1.2,SENDAI_free_Wi-Fi
Open,82,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → SCANNING",1,1.2,SENDAI_free_Wi-Fi
Open,82,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",1,1.2,SENDAI_free_Wi-Fi
Open,82,(遷移記録なし),1,1.2,SENDAI_free_Wi-Fi
Open,82,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED",1,1.2,SENDAI_free_Wi-Fi
