対象label（機種・データソース）,"2026/09/15 12:23~12:40仙台駅雨（ASUS_I006D・supplicant_data-SSID_receive）"

セキュリティ規格,規格内件数,遷移パターン,件数,割合(%)（規格内）,SSID
Open,140,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",56,40,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,140,"ASSOCIATING → ASSOCIATED → COMPLETED",14,10,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,140,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",13,9.3,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,140,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",8,5.7,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,140,(遷移記録なし),7,5,TOHOKU_United_Free_Wi-Fi
Open,140,"ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",6,4.3,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,140,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",5,3.6,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,140,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",3,2.1,SENDAI_free_Wi-Fi
Open,140,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",3,2.1,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,140,ASSOCIATING,3,2.1,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,140,"INTERFACE_DISABLED → DISCONNECTED → SCANNING",3,2.1,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,140,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",2,1.4,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,140,"DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",2,1.4,TOHOKU_United_Free_Wi-Fi
Open,140,"ASSOCIATING → DISCONNECTED → SCANNING",2,1.4,TOHOKU_United_Free_Wi-Fi
Open,140,"ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",2,1.4,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,140,"INTERFACE_DISABLED → DISCONNECTED",1,0.7,TOHOKU_United_Free_Wi-Fi
Open,140,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED",1,0.7,TOHOKU_United_Free_Wi-Fi
Open,140,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED",1,0.7,TOHOKU_United_Free_Wi-Fi
Open,140,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED",1,0.7,TOHOKU_United_Free_Wi-Fi
Open,140,"INTERFACE_DISABLED → DISCONNECTED → SCANNING → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",1,0.7,TOHOKU_United_Free_Wi-Fi
Open,140,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",1,0.7,SENDAI_free_Wi-Fi
Open,140,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → SCANNING",1,0.7,TOHOKU_United_Free_Wi-Fi
Open,140,"ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED",1,0.7,TOHOKU_United_Free_Wi-Fi
Open,140,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → SCANNING",1,0.7,SENDAI_free_Wi-Fi
Open,140,"ASSOCIATING → DISCONNECTED",1,0.7,TOHOKU_United_Free_Wi-Fi
Open,140,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED",1,0.7,SENDAI_free_Wi-Fi
WPA2-EAP,104,(遷移記録なし),92,88.5,Wi2eap
WPA2-EAP,104,"DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED",4,3.8,Wi2eap
WPA2-EAP,104,DISCONNECTED,3,2.9,Wi2eap
WPA2-EAP,104,"INTERFACE_DISABLED → DISCONNECTED → SCANNING → DISCONNECTED",3,2.9,Wi2eap
WPA2-EAP,104,"INTERFACE_DISABLED → DISCONNECTED",2,1.9,Wi2eap
