対象label（機種・データソース）,"2026/09/16 07:54~08:04仙台駅（motorola edge 40 neo・supplicant_data-SSID_receive）"

セキュリティ規格,規格内件数,遷移パターン,件数,割合(%)（規格内）,SSID
Open,114,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",77,67.5,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,114,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED",9,7.9,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,114,"ASSOCIATING → ASSOCIATED → COMPLETED",6,5.3,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,114,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING",3,2.6,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,114,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED",2,1.8,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,114,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",2,1.8,"SENDAI_free_Wi-Fi / TOHOKU_United_Free_Wi-Fi"
Open,114,"DISCONNECTED → ASSOCIATING → ASSOCIATED → COMPLETED",2,1.8,TOHOKU_United_Free_Wi-Fi
Open,114,"INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED",2,1.8,SENDAI_free_Wi-Fi
Open,114,"ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED",1,0.9,SENDAI_free_Wi-Fi
Open,114,"ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → INTERFACE_DISABLED → DISCONNECTED → ASSOCIATING → DISCONNECTED",1,0.9,TOHOKU_United_Free_Wi-Fi
